#BIBLE VERSE DESKTOP

#name   	Hindi Bible
#language	hindi

; Scripture taken from the Hindi Bible. 

जो काम तुझे मिले उसे अपक्की शक्ति भर करना	सभोपदेशक 9:10
लड़ाई के हयियारोंसे बुद्धि उत्तम है	सभोपदेशक 9:18
जो गड़हा खोदे वह उस में गिरेगा	सभोपदेशक 10:8
जो बाड़ा तोड़े उसको सर्प डसेगा।	सभोपदेशक 10:8
अपक्की रोटी जल के ऊपर डाल दे	सभोपदेशक 11:1
जो वायु को ताकता रहेगा वह बीज बोने न पाएगा	सभोपदेशक 11:4
अपक्की जवानी के दिनोंमें अपके सृजनहार को स्मरण रख	सभोपदेशक 12:1
उपकेशक कहता है, सब व्यर्य ही व्यर्य; सब कुछ व्यर्य है।	सभोपदेशक 12:8
परमेश्वर का भय मान और उसकी आज्ञाओं का पालन कर; क्योंकि मनुष्य का सम्पूर्ण कर्त्तव्य यही है।	सभोपदेशक 12:13
जो छोटी लोमडिय़ां दाख की बारियोंको बिगाड़ती हैं, उन्हें पकड़ ले	श्रेष्ठगीत 2:15
पानी की बाढ़ से भी प्रेम नहीं बुफ सकता	श्रेष्ठगीत 8:7
भलाई करना सीखो	श्रेष्ठगीत 1:17
तुम्हारे पाप चाहे लाल रंग के हों, तौभी वे हिम की नाईं उजले हो जाएंगे	श्रेष्ठगीत 1:18
वह हमको अपके मार्ग सिखाएगा, और हम उसके पयोंपर चलेंगे।	श्रेष्ठगीत 2:3
मैं किस को भेंजूं, और हमारी ओर से कौन जाएगा?	श्रेष्ठगीत 6:8
मैं ने कहा, मैं यहां हूं! मुझे भेज	श्रेष्ठगीत 6:8
प्रभु यहोवा मेरा बल और मेरे भजन का विषय है	श्रेष्ठगीत 12:2
प्रभु यहोवा सनातन चट्टान है।	श्रेष्ठगीत 26:4
मेरे लोग शान्ति के स्यानोंमें निश्चिन्त रहेंगे	श्रेष्ठगीत 32:18
जंगल में जल के सोते फूट निकलेंगे	श्रेष्ठगीत 35:6
वह चरवाहे की नाईं अपके फुण्ड को चराएगा	श्रेष्ठगीत 40:11
वह यके हुए को बल देता है और शक्तिहीन को बहुत सामर्य देता है।	श्रेष्ठगीत 40:29
जो यहोवा की बाट जोहते हैं, वे नया बल प्राप्त करते जाएंगे	श्रेष्ठगीत 40:31
वे दौड़ेंगे और श्र्मित न होंगे, चलेंगे और यकित न होंगे।।	श्रेष्ठगीत 40:31
मैं तेरा परमेश्वर यहोवा, तेरा दहिना हाथ पकड़कर कहूंगा	श्रेष्ठगीत 41:13
मत डर, मैं तेरी सहाथता करूंगा।।	श्रेष्ठगीत 41:13
मैं जंगल को ताल और निर्जल देश को सोते ही सोते कर दूंगा।	श्रेष्ठगीत 41:18
उनके आगे मैं अन्धिक्कारने को उजियाला करूंगा	श्रेष्ठगीत 42:16
मैं जंगल में एक मार्ग बनाऊंगा और निर्जल देश में नदियां बहाऊंगा।	श्रेष्ठगीत 43:19
मैं वही हूं जो ... तेरे अपराधोंको मिटा देता हूं	श्रेष्ठगीत 43:25
मेरी ओर फिर लौट आ, क्योंकि मैं ने तुझे छुड़ा लिया है।।	श्रेष्ठगीत 44:22
मेरे मुख से यह वचन निकला है और वह नहीं टलेगा	श्रेष्ठगीत 45:23
मैं ही तेरा परमेश्वर यहोवा हूं जो तुझे तेरे लाभ के लिथे शिझा देता हूं	श्रेष्ठगीत 48:17
और मैं ने तेरे मुंह में अपके वचन डाले	श्रेष्ठगीत 51:16
तुझे अपके हाथ की आड़ में छिपा रखा है	श्रेष्ठगीत 51:16
वह तुच्छ जाना जाता और मनुष्योंका त्यागा हुआ या; वह दु:खी पुरूष या, रोग से उसकी जान पहिचान यी	श्रेष्ठगीत 53:3
उस ने हमारे रोगोंको सह लिया और हमारे ही दु:खोंको उठा लिया	श्रेष्ठगीत 53:4
वह हमारे ही अपराधो के कारण घायल किया गया, वह हमारे अधर्म के कामोंके हेतु कुचला गया	श्रेष्ठगीत 53:5
हमारी ही शान्ति के लिथे उस पर ताड़ना पक्की	श्रेष्ठगीत 53:5
उसके कोड़े खाने से हम चंगे हो जाएं।	श्रेष्ठगीत 53:5
यहोवा ने हम सभोंके अधर्म का बोफ उसी पर लाद दिया।।	श्रेष्ठगीत 53:6
वह अपके प्राणोंका दु:ख उठाकर उसे देखेगा और तृप्त होगा	श्रेष्ठगीत 53:11
तौभी उस ने बहुतोंके पाप का बोफ उठ लिया, और, अपराधियोंके लिथे बिनती करता है।।	श्रेष्ठगीत 53:12
अपके तम्बू का स्यान चौड़ा कर	श्रेष्ठगीत 54:2
मेरी करूणा तुझ पर से कभी न हटेगी	श्रेष्ठगीत 54:10
जितने हयियार तेरी हानि के लिथे बनाए जाएं, उन में से कोई सफल न होगा	श्रेष्ठगीत 54:17
तू सींची हुई बारी ... के समान होगा	श्रेष्ठगीत 58:11
यहोवा तेरी सदैव की ज्योति होगा	श्रेष्ठगीत 60:20
उनके सारे संकट में उस ने भी कष्ट उठाया	श्रेष्ठगीत 63:9
पूछो कि प्राचीनकाल का अच्छा मार्ग कौन सा है, उसी में चलो	यिर्मयाह 6:16
मैं तुझे बचाने और तेरा उद्धार करने के लिथे तेरे साय हूँ	यिर्मयाह 15:20
मैं यहोवा मन की खोजता और ह्रृदय को जांचता हूँ	यिर्मयाह 17:10
तुम मुझे ढूंढ़ोगे और पाओगे भी; क्योंकि तुम अपके सम्पूर्ण मन से मेरे पास आओगे।	यिर्मयाह 29:13
मैं उनका अधर्म झमा करूंगा, और उनका पाप फिर स्मरण न करूंगा।	यिर्मयाह 31:34
क्या मेरे लिथे कोई भी काम कठिन है?	यिर्मयाह 32:27
मैं बड़ी प्रसन्नता के साय उनका भला करता रहूंगा	यिर्मयाह 32:41
मुझ से प्रार्यना कर और मैं तेरी सुनकर... बताऊंगा	यिर्मयाह 33:3
तुझे बढ़ी-बड़ी और कठिन बातें बताऊंगा जिन्हें तू अभी नहीं समझता।	यिर्मयाह 33:3
यहोवा की बात समझकर मान ले	यिर्मयाह 38:20
आओ हम यहोवा से मेल कर लें	यिर्मयाह 50:5
जो यहोवा की बाट जोहते और उसके पास जाते हैं, उनके लिथे यहोवा भला है।	विलापगीत 3:25
हम अपके चालचलन को ध्यान से परखें, और यहोवा की ओर फिरें !	विलापगीत 3:40
हम स्वर्गवासी परमेश्वर की ओर मन लगाएं और हाथ फैलाएं	विलापगीत 3:41
अपके सब अपराधोंको जो तुम ने किए हैं, दूर करो	यहेजकेल 18:31
तुम को सुखदायक सुगन्ध जानकर ग्रहण करूंगा	यहेजकेल 20:41
मेंह को मैं ठीक समय में बरसाया करूंगा	यहेजकेल 34:26
वे आशीषोंकी वर्षा होंगी।	यहेजकेल 34:26
मैं तुम को नया मन दूंगा, और तुम्हारे भीतर नई आत्मा उत्पन्न करूंगा	यहेजकेल 36:26
हमारा परमेश्वर, जिसकी हम उपासना करते हैं वह हम को ...बचाने की शक्ति रखता है	दानिय्येल 3:17
मैं बलिदान से नहीं, स्यिर प्रेम ही से प्रसन्न होता हूं	होशे 6:6
अपके पूरे मन से फिरकर मेरे पास आओ।	योएल 2:12
तुम अपके परमेश्वर यहोवा के कारण मगन हो, और आनन्द करो	योएल 2:23
मैं सब प्राणियोंपर अपना आत्मा उण्डेलूंगा	योएल 2:28
जो कोई यहोवा से प्रार्यना करेगा, वह छुटकारा पाएगा	योएल 2:32
यहोवा अपक्की प्रजा के लिथे शरणस्यान ठहरेगा।।	योएल 3:16
मेरी खोज में लगो, तब जीवित रहोगे।	आमोस 5:4
सारी अन्यजातियोंपर यहोवा के दिन का आना निकट है।	ओबद्दाह 1:15
उद्धार यहोवा ही से होता है।	योना 2:10
हम लोग अपके परमेश्वर यहोवा का नाम लेकरचलते रहेंगे।।	मीका 4:5
मैं अपके उद्धारकर्ता परमेश्वर की बाट जोहता रहूंगा	मीका 7:7
यहोवा ... अपके शरणागतोंकी सुधी रखता है।	नहूम 1:7
धर्मी अपके विश्वास के द्वारा जीवित रहेगा।	हबक्कूक 2:4
यहोवा, वर्तमान युग में अपके काम को पूरा कर	हबक्कूक 3:2
तेरा परमेश्वर यहोवा तेरे बीच में है, वह उद्धार करने में पराक्रमी है	सपन्याह 3:17
अपके अपके चालचलन पर सोचो।	हाग्गै 1:7
हियाव बान्ध… क्योंकि मैं तुम्हारे संग हूं,… यहोवा की यही वाणी है।	हाग्गै 2:4
मेरा आत्मा तुम्हारे बीच में बना है; इसलिथे तुम मत डरो।	हाग्गै 2:5
तुम मत डरो, और न तुम्हारे हाथ ढीले पड़ने पाएं।।	जकर्याह 8:13
क्योंकि मैं यहोवा बदलता नहीं	मलाकी 3:6
सारे दशमांश भण्डार में ले आओ	मलाकी 3:10
सारी जातियां तुम को धन्य कहेंगी	मलाकी 3:12
तुम्हारे लिथे जो मेरे नाम का भय मानते हो, धर्म का सूर्य उदय होगा	मलाकी 4:2
प्रभु का मार्ग तैयार करो, उस की सड़कें सीधी करो।	मत्ती 3:3
सो मन फिराव के योग्य फल लाओ।	मत्ती 3:8
वह तुम्हें पवित्र आत्क़ा और आग से बपतिस्क़ा देगा।	मत्ती 3:11
वह अपना खलिहान… साफ करेगा, और अपके गेहूं को तो खत्ते में इकट्ठा करेगा	मत्ती 3:12
मनुष्य केवल रोटी ही से नहीं… जीवित रहेगा।	मत्ती 4:4
तू प्रभु अपके परमेश्वर को प्रणाम कर	मत्ती 4:10
मन फिराओ क्‍योंकि स्‍वर्ग का राज्य निकट आया है।	मत्ती 4:17
मेरे पीछे चले आओ, तो मैं तुम को मनुष्योंके पकड़नेवाले बनाऊंगा।	मत्ती 4:19
धन्य हैं वे, जो मन के दीन हैं, क्‍योंकि स्‍वर्ग का राज्य उन्‍हीं का है।	मत्ती 5:3
धन्य हैं वे, जो शोक करते हैं, क्‍योंकि वे शांति पाएंगे।	मत्ती 5:4
धन्य हैं वे, जो नम्र हैं, क्‍योंकि वे पृय्‍वी के अधिक्कारनेी होंगे।	मत्ती 5:5
धन्य हैं वे, जो दयावन्‍त हैं, क्‍योंकि उन पर दया की जाएगी।	मत्ती 5:7
धन्य हैं वे, जिन के मन शुद्ध हैं, क्‍योंकि वे परमेश्वर को देखेंगे।	मत्ती 5:8
धन्य हैं वे, जो मेल करवानेवाले हैं, क्‍योंकि वे परमेश्वर के पुत्र कहलाएंगे।	मत्ती 5:9
तुम जगत की ज्योति हो; जो नगर पहाड़ पर बसा हुआ है वह छिप नहीं सकता।	मत्ती 5:14
उसी प्रकार तुम्हारा उजियाला मनुष्योंके साम्हने चमके	मत्ती 5:16
इसलिथे चाहिथे कि तुम सिद्ध बनो, जैसा तुम्हारा स्‍वर्गीय पिता सिद्ध है।।	मत्ती 5:48
तुम्हारा पिता… जानता है, कि तुम्हारी क्‍या क्‍या आवश्यक्ता है।	मत्ती 6:8
अपके लिथे स्‍वर्ग में धन इकट्ठा करो	मत्ती 6:20
क्‍योंकि जहां तेरा धन है वहां तेरा मन भी लगा रहेगा।	मत्ती 6:21
पहिले तुम उसे राज्य और धर्म की खोज करो	मत्ती 6:33
जो कोई मांगता है, उसे मिलता है	मत्ती 7:7
जो ढूंढ़ता है, वह पाता है	मत्ती 7:7
जो खटखटाता है, उसके लिथे खोला जाएगा।	मत्ती 7:7
तुम्हारा स्‍वर्गीय पिता अपके मांगनेवालोंको अच्‍छी वस्‍तुएं क्‍योंन देगा	मत्ती 7:11
वह फाटक और सकरा है वह मार्ग जो जीवन को पहुंचाता है	मत्ती 7:14
ढाढ़स बान्‍ध; तेरे पाप झमा हुए।	मत्ती 9:2
क्‍या तुम्हें विश्वास है, कि मैं यह कर सकता हूं	मत्ती 9:28
पके खेत तो बहुत हैं पर मजदूर योड़े हैं।	मत्ती 9:37
तुम ने सेंतमेंत पाया है, सेंतमेंत दो।	मत्ती 10:8
सांपोंकी नाई बुद्धिमान और कबूतरोंकी नाई भोले बनो।	मत्ती 10:16
जो कानोंकान सुनते हो, उसे कोठोंपर से प्रचार करो।	मत्ती 10:27
हे सब परिश्र्म करनेवालोंऔर बोफ से दबे लोगों, मेरे पास आओ; मैं तुम्हें विश्रम दूंगा।	मत्ती 11:28
मुझ से सीखो; क्‍योंकि मैं नम्र और मन में दी हूं	मत्ती 11:29
मेरा जूआ सहज और मेरा बोफ हल्का है।।	मत्ती 11:30
वह कुचले हुए सरकण्‍डे को न तोड़ेगा	मत्ती 12:20
जो मेरे साय नहीं बटोरता, वह बियराता है।	मत्ती 12:30
धर्मी अपके पिता के राज्य में सूर्य की नाई चमकेंगे	मत्ती 13:43
स्‍वर्ग का राज्य खेत में छिपे हुए धन के समान है	मत्ती 13:44
मैंअपक्की कलीसिया बनाऊंगा: और अधोलोक के फाटक उस पर प्रबल न होंगे।	मत्ती 16:18
परन्‍तु बहुतेरे जो पहिले हैं, पिछले होंगे; और जो पिछले हैं, पहिले होंगे।।	मत्ती 19:30
परन्‍तु जो अन्‍त तक धीरज धरे रहेगा, उसी का उद्धार होगा।	मत्ती 24:13
और राज्य का यह सुसमाचार सारे जगत में प्रचार किया जाएगा	मत्ती 24:14
आकाश और पृय्‍वी टल जाएंगे, परन्‍तु मेरी बातें कभी न टलेंगी।	मत्ती 24:35
वह विश्वासयोग्य और बुद्धिमान दास कौन है	मत्ती 24:45
जागते रहो, और प्रार्यना करते रहो, कि तुम पक्कीझा में न पड़ो	मत्ती 26:41
आत्क़ा तो तैयार है, परन्‍तु शरीर र्दुबल है।	मत्ती 26:41
तुम जाकर सब जातियोंके लोगोंको चेला बनाओ	मत्ती 28:19
और देखो, मैं जगत के अन्‍त तक सदैव तुम्हारे संग हूं।।	मत्ती 28:20
दिन निकलने से बहुत पहिले, वह उठकर… प्रार्यना करने लगा।	मरकुस 1:35
और जितने उसे छूते थे, सब चंगे हो जाते थे।।	मरकुस 6:56
तुम क्‍या चाहते हो कि मैं तुम्हारे लिथे करूं	मरकुस 10:36
मन फिराओ और सुसमाचार पर विश्वास करो।।	मरकुस 11:15
तुम सारे जगत में जाकर सारी सृष्‍टि के लोगोंको सुसमाचार प्रचार करो।	मरकुस 16:15
धन्य हो तुम, जो अब रोते हो, क्‍योंकि हंसोगे।	लूका 6:21
प्रति दिन अपना क्रूस उठाए हुए मेरे पीछे हो ले।	लूका 9:23
आदि में वचन या, और वचन परमेश्वर के साय या, और वचन परमेश्वर या।	यूहन्ना 1:1
और ज्योति अन्‍धकार में चमकती है; और अन्‍धकार ने उसे ग्रहण न किया।	यूहन्ना 1:5
परन्‍तु जितनोंने उसे ग्रहण किया, उस ने उन्‍हें परमेश्वर के सन्‍तान होने का अधिक्कारने दिया	यूहन्ना 1:12
और वचन देहधारी हुआ; ... हमारे बीच में डेरा किया	यूहन्ना 1:14
तुम प्रभु का मार्ग सीधा करो।	यूहन्ना 1:23
***	यूहन्ना 1:51
यदि कोई नथे सिक्के से न जन्क़ें तो परमेश्वर का राज्य देख नहीं सकता।	यूहन्ना 3:3
जो आत्क़ा से जन्क़ा है, वह आत्क़ा है।	यूहन्ना 3:6
हवा जिधर चाहती है उधर चलती है, और तू उसका शब्‍द सुनता है	यूहन्ना 3:8
क्‍योंकि परमेश्वर ने जगत से ऐसा प्रेम रखा कि उस ने अपना ... पुत्र दे दिया	यूहन्ना 3:16
परन्‍तु जो सच्‍चाई पर चलता हैख्‍ वह ज्योति के निकट आता है	यूहन्ना 3:21
जो पुत्र पर विश्वास करता है, अनन्‍त जीवन उसका है	यूहन्ना 3:36
सच्‍चे भक्त पिता का भजन आत्क़ा और सच्‍चाई से करेंगे	यूहन्ना 4:23
परमेश्वर आत्क़ा है, और अवश्य है कि उसके भजन करनेवाले आत्क़ा और सच्‍चाई से भजन करें।	यूहन्ना 4:24
मेरा भोजन यह है, कि अपके भेजनेवाले की इच्‍छा के अनुसार चलूं और उसका काम पूरा करूं।	यूहन्ना 4:34
काटनेवाला मजदूरी पाता, और अनन्‍त जीवन के लिथे फल बटोरता है	यूहन्ना 4:36
बोनेवाला और काटनेवाला दोनोंमिलकर आनन्‍द करें।	यूहन्ना 4:36
तू तो चंगा हो गया है; फिर से पाप मत करना	यूहन्ना 5:14
तुम पवित्र शास्‍त्र में ढूंढ़ते हो, क्‍योंकि समझते हो कि उस में अनन्‍त जीवन तुम्हें मिलता है	यूहन्ना 5:39
नाशमान भोजन के लिथे परिश्र्म न करो, परन्‍तु उस भोजन के लिथे जो अनन्‍त जीवन तक ठहरता है	यूहन्ना 6:27
परमेश्वर का कार्य्य यह है, कि तुम उस पर, जिसे उस ने भेजा है, विश्वास करो।	यूहन्ना 6:29
क्‍योकि परमेश्वर की रोटी वही है, जो स्‍वर्ग से उतरकर जगत को जीवन देती है।	यूहन्ना 6:33
जो मुझ पर विश्वास करेगा, वह कभी पियासा न होगा।	यूहन्ना 6:35
जो मेरे पास आएगा वह कभी भूखा न होगा	यूहन्ना 6:35
जो कुछ... मेरे पास आएगा, उसे मैं कभी न निकालूंगा।	यूहन्ना 6:37
जो कोई विश्वास करता है, अनन्‍त जीवन उसी का है।	यूहन्ना 6:47
आत्क़ा तो जीवनदायक है, शरीर से कुछ लाभ नहीं	यूहन्ना 6:63
जो बातें मैं ने तुम से कहीं हैं वे आत्क़ा है, और जीवन भी हैं।	यूहन्ना 6:63
यदि कोई पियासा हो तो मेरे पास आकर पीए।	यूहन्ना 7:37
जो मुझ पर विश्वास करेगा, ... उसके ह्रृदय में से जीवन के जल की नदियां बह निकलेगी।	यूहन्ना 7:38
जो मेरे पीछे हो लेगा, वह अन्‍धकार में न चलेगा	यूहन्ना 8:12
यदि तुम मेरे वचन में बने रहोगे, तो सचमुच मेरे चेले ठहरोगे।	यूहन्ना 8:31
और सत्य को जानोगे, और सत्य तुम्हें स्‍वतंत्र करेगा।	यूहन्ना 8:32
जो कोई पाप करता है, वह पाप का दास है।	यूहन्ना 8:34
जो परमेश्वर से होता हे, वह परमेश्वर की बातें सुनता है	यूहन्ना 8:47
यदि कोई व्यक्ति मेरे वचन पर चलेगा, तो वह अनन्‍त काल तक मृत्यु को न देखेगा।	यूहन्ना 8:51
द्वार मैं हूं: यदि कोई मेरे द्वारा भीतर प्रवेश करे तो उद्धार पाएगा	यूहन्ना 10:9
मैं इसलिथे आया कि वे जीवन पाएं, और बहुतायत से पाएं।	यूहन्ना 10:10
अच्‍छा चरवाहा मैं हूं; अच्‍छा चरवाहा भेड़ोंके लिथे अपना प्राण देता है।	यूहन्ना 10:11
अच्‍छा चरवाहा मैं हूं; जिस तरह पिता मुझे जानता है, और मैं पिता को जानता हूं।	यूहन्ना 10:14
मेरी भेड़ें मेरा शब्‍द सुनती हैं, और मैं उन्‍हें जानता हूं, और वे मेरे पीछे पीछे चलती हैं।	यूहन्ना 10:27
और कोई उन्‍हें मेरे हाथ से छीन न लेगा।	यूहन्ना 10:28
पुनरूत्यान और जीवन मैं ही हूं	यूहन्ना 11:25
यदि तू विश्वास करेगी, तो परमेश्वर की महिमा को देखेगी।	यूहन्ना 11:40
यदि कोई मेरी सेवा करे, तो पिता उसका आदर करेगा।	यूहन्ना 12:26
यदि कोई मेरी सेवा करे, तो मेरे पीछे हो ले	यूहन्ना 12:26
जब तक ज्योति तुम्हारे साय है, ज्योति पर विश्वास करो कि तुम ज्योति के सन्‍तान होओ।।	यूहन्ना 12:36
मैं तुम्हें एक नई आज्ञा देता हूं, कि एक दूसरे से प्रेम रखो	यूहन्ना 13:34
यदि आपस में प्रेम रखोगे तो इसी से सब जानेंगे, कि तुम मेरे चेले हो।।	यूहन्ना 13:35
तुम्हारा मन व्याकुल न हो, तुम परमेश्वर पर विश्वास रखते हो मुझ पर भी विश्वास रखो।	यूहन्ना 14:1
फिर आकर तुम्हें अपके यहंा ले जाऊंगा	यूहन्ना 14:3
मार्ग और सच्‍चाई और जीवन मैं ही हूं	यूहन्ना 14:6
जो मुझ पर विश्वास रखता है, थे काम जो मैं करता हूं वही भी करेगा	यूहन्ना 14:12
और जो कुछ तुम मेरे नाम से मांगोगे, वही मैं करूंगा	यूहन्ना 14:13
यदि तुम मुझ से प्रेम रखते हो, तो मेरी आज्ञाओं को मानोगे।	यूहन्ना 14:15
सहाथक अर्यात्‍ पवित्र आत्क़ा… वह तुम्हें सब बातें सिखाएगा	यूहन्ना 14:26
तुम्हारा मन न घबराए और न डरे।	यूहन्ना 14:27
तुम मुझ में बने रहो, और मैं तुम में	यूहन्ना 15:4
जो मुझ में बना रहता है, और मैं उस में, वह बहुत फल फलता है	यूहन्ना 15:5
मेरे पिता की महिमा इसी से होती है, कि तुम बहुत सा फल लाओ	यूहन्ना 15:8
मेरे प्रेम में बने रहो।	यूहन्ना 15:9
मेरा आनन्‍द तुम में बना रहे, और तुम्हारा आनन्‍द पूरा हो जाए।	यूहन्ना 15:11
जैसा मैं ने तुम से प्रेम रखा, वैसा ही तुम भी एक दूसरे से प्रेम रखो।	यूहन्ना 15:12
जो कुछ मैं तुम्हें आज्ञा देता हूं, यदि उसे करो, तो तुम मेरे मित्र हो।	यूहन्ना 15:14
तुम ने मुझे नहीं चुना परन्‍तु मैं ने तुम्हें चुना है	यूहन्ना 15:16
मैं ने तुम्हें चुना है और तुम्हें ठहराया ताकि तुम जाकर फल लाओ	यूहन्ना 15:16
मांगो तो पाओगे ताकि तुम्हारा आनन्‍द पूरा हो जाए।।	यूहन्ना 16:24
ढाढ़स बांधो, मैं ने संसार को जीन लिया है।।	यूहन्ना 16:33
जैसे पिता ने मुझे भेजा है, वैसे ही मैं भी तुम्हें भेजता हूं।	यूहन्ना 20:21
धन्य हैं वे जिन्‍होंने बिना देखे विश्वास किया।।	यूहन्ना 20:29
हे प्रभु… अपके दासोंको यह बरदान दे, कि तेरा वचन बड़े हियाव से सुनाएं।	प्रेरितों के काम 4:29
प्रभु की इच्‍छा पूरी हो।।	प्रेरितों के काम 21:14
मैं सुसमाचार से नहीं लजाता	रोमियो 1:16
विश्वास से धर्मी जन जीवित रहेगा।।	रोमियो 1:17
परमेश्वर की कृपा तुझे मन फिराव को सिखाती है	रोमियो 2:4
सब ने पाप किया है और परमेश्वर की महिमा से रिहत है।	रोमियो 3:23
धन्य वे हैं, जिन के अधर्म झमा हुए, और जिन के पाप ढ़ापे गए।	रोमियो 4:7
जब हम विश्वास से धर्मी ठहरे, तो ... परमेश्वर के साय मेल रखें।	रोमियो 5:1
पवित्र आत्क़ा… उसके द्वारा परमेश्वर का प्रेम हमारे मन में डाला गया है।	रोमियो 5:5
जब हम पापी ही थे तभी मसीह हमारे लिथे मरा।	रोमियो 5:8
उसके लोहूं के कारण धर्मी ठहरे, तो उसके द्वारा ोध से क्‍योंन बचेंगे	रोमियो 5:9
बैरी होने की दशा में तो उसके पुत्र की मृत्यु के द्वारा हमारा मेल परमेश्वर के साय हुआ	रोमियो 5:10
जहां पाप बहुत हुआ, वहां अनुग्रह उस से भी कहीं अधिक हुआ।	रोमियो 5:20
अपके आप को मरे हुओं में से जी उठा हुआ जानकर परमश्‍ेवर को सौंपो	रोमियो 6:13
परमेश्वर का बरदान हमारे प्रभु यीशु मसीह में अनन्‍त जीवन है।।	रोमियो 6:23
हम परमेश्वर के लिथे फल लाएं।	रोमियो 7:4
हम शरीर के कर्जदान नहीं, ताकि शरीर के अनुसार दिन काटें।	रोमियो 8:12
जितने लोग परमेश्वर के आत्क़ा के चलाए चलते हैं, वे ही परमेश्वर के पुत्र हैं।	रोमियो 8:14
इसी रीति से आत्क़ा भी हमारी र्दुबलता में सहाथता करता है	रोमियो 8:26
जो लोग परमेश्वर से प्रेम रखते हैं, उन के लिथे सब बातें मिलकर भलाई ही को उत्‍पन्न करती है	रोमियो 8:28
यदि परमेश्वर हमारी ओर है, तो हमारा विरोधी कौन हो सकता है	रोमियो 8:31
परमेश्वर के चुने हुओं पर दोष कौन लगाएगा परमेश्वर वह है जो उनको धर्मी ठहरानेवाला है।	रोमियो 8:33
इन सब बातोंमें हम उसके द्वारा जिस ने हम से प्रेम किया है, जयवन्‍त से भी बढ़कर हैं।	रोमियो 8:37
न गहिराई और न कोई और सृष्‍टि, हमें परमेश्वर के प्रेम से,...अलग कर सकेगी।।	रोमियो 8:39
हे मनुष्य, भला तू कौन है, जो परमेश्वर का साम्हना करता है	रोमियो 9:20
जो उस पर विश्वास करेगा, वह लज्ज़ित न होगा।।	रोमियो 9:33
वचन तेरे निकट है, तेरे मुंह में और तेरे मन में है	रोमियो 10:8
उद्धार के लिथे मुंह से अंगीकार किया जाता है।	रोमियो 10:10
वह सब का प्रभु है; और अपके सब नाम लेनेवालोंके लिथे उदार है।	रोमियो 10:12
उन के पांव क्‍या ही सोहावने हैं, जो अच्‍छी बातोंका सुसमाचार सुनाते हैं।	रोमियो 10:15
सो विश्वास सुनने से, और सुनना मसीह के वचन से होता है।	रोमियो 10:17
परमेश्वर अपके बरदानोंसे, और बुलाहट से कभी पीछे नहीं हटता।	रोमियो 11:29
आहा! परमेश्वर का धन और बुद्धि और ज्ञान क्‍या ही गंभीर है!	रोमियो 11:33
इस संसार के सदृश न बनो	रोमियो 12:2
तुम्हारी बुद्धि के नथे हो जाने से तुम्हारा चाल-चलन भी बदलता जाए	रोमियो 12:2
परमेश्वर की भली, और भावती, और सिद्ध इच्‍छा	रोमियो 12:2
प्रेम निष्‍कपट हो	रोमियो 12:9
भाईचारे के प्रेम से एक दूसरे पर मया रखो	रोमियो 12:10
आत्क़िक उन्क़ाद में भरो रहो; प्रभु की सेवा करते रहो।	रोमियो 12:11
क्‍लेश मे स्यिर रहो; प्रार्यना मे नित्य लगे रहो।	रोमियो 12:12
आनन्‍द करनेवालोंके साय आनन्‍द करो; और रोनेवालोंके साय रोओ।	रोमियो 12:15
बुराई के बदले किसी से बुराई न करो	रोमियो 12:17
तुम अपके भरसक सब मनुष्योंके साय मेल मिलाप रखो।	रोमियो 12:18
बुराई से न हारो परन्‍तु भलाई से बुराई का जीत लो।।	रोमियो 12:21
आपस के प्रेम से छोड़ और किसी बात में किसी के कर्जदान न हो	रोमियो 13:8
अब तुम्हारे लिथे नींद से जाग उठने की घड़ी आ पहुंची है	रोमियो 13:11
जिस समय हम ने विश्वास किया या, उस समय के विचार से अब हमारा उद्धार निकट है।	रोमियो 13:11
ज्योति के हिययार बान्‍ध लें।	रोमियो 13:12
प्रभु यीशु मसीह को पहिन लो	रोमियो 13:14
सो हम में से हर एक परमेश्वर को अपना अपना लेखा देगा।।	रोमियो 14:12
परमश्‍ेवर का राज्या… धर्म और मिलाप और वह आनन्‍द है	रोमियो 14:17
धन्य है वह, जो उस बात में, जिस वह ठीक समझता है, अपके आप को दोषी नहीं ठहराता ।	रोमियो 14:22
मसीह ने भी परमेश्वर की महिमा के लिथे तुम्हें ग्रहण किया है	रोमियो 15:7
परमेश्वर जो आशा का दाता है तुम्हें विश्वास करने में सब प्रकार के आनन्‍द और शान्‍ति से परिपूर्ण करे	रोमियो 15:13
शान्‍ति का परमेश्वर शैतान को तुम्हारे पांवोंसे शीघ्र कुचलवा देगा।।	रोमियो 16:20
क्‍योंकि क्रूस की कया ... परमेश्वर की सामर्य है।	1 कुरिन्थियों 1:18
हम तो उस क्रूस पर चढ़ाए हुए मसीह का प्रचार करते हैं	1 कुरिन्थियों 1:23
और परमेश्वर ने जगत के निर्बलोंको चुन लिया है, कि बलवानोंको लज्ज़ित करे।	1 कुरिन्थियों 1:27
परमेश्वर ने जगत के मूर्खोंको चुन लिया है, कि ज्ञानवालोंको लज्ज़ित करे	1 कुरिन्थियों 1:27
हम ने संसार की आत्क़ा नहीं, परन्‍तु वह आत्क़ा पाया है, जो परमेश्वर की ओर से है	1 कुरिन्थियों 2:12
हर एक व्यक्ति अपके ही परिश्र्म के अनुसार अपक्की ही मजदूरी पाएगा।	1 कुरिन्थियों 3:8
